model_id,rule_count,example_count,scenario,correct_output_format,tool_coverage,edge_coverage,false_tool_count,false_edge_count,dag_graph_edit_distance
-3,1,0,1,1,1,1,1,1,2
-3,1,1,1,1,1,1,1,1,2
-3,1,2,1,1,1,1,1,1,2
-3,1,3,1,1,1,1,0,0,0
-3,2,0,1,1,1,0,1,2,2
-3,2,1,1,1,1,1,1,1,2
-3,2,2,1,1,1,1,1,1,2
-3,2,3,1,1,1,1,1,1,2
-3,3,0,1,1,1,1,1,1,2
-3,3,1,1,1,1,1,1,1,2
-3,3,2,1,1,1,1,1,1,2
-3,3,3,1,1,1,1,0,0,0
-3,4,0,1,1,1,0,1,2,2
-3,4,1,1,1,1,1,1,1,2
-3,4,2,1,1,1,1,1,1,2
-3,4,3,1,1,1,1,1,1,2
-3,5,0,1,1,1,1,1,1,2
-3,5,1,1,1,1,1,1,1,2
-3,5,2,1,1,1,0,1,2,2
-3,5,3,1,1,1,1,1,1,2
-3,6,0,1,1,1,1,1,1,2
-3,6,1,1,1,1,1,1,1,2
-3,6,2,1,1,1,1,1,1,2
-3,6,3,1,1,1,1,1,1,2
-3,7,0,1,1,1,1,1,1,2
-3,7,1,1,1,1,1,1,1,2
-3,7,2,1,1,1,0,1,1,1
-3,7,3,1,1,1,1,1,1,2
-3,8,0,1,1,1,1,1,1,2
-3,8,1,1,1,1,1,1,1,2
-3,8,2,1,1,1,1,1,1,2
-3,8,3,1,1,1,1,1,1,2
-3,9,0,1,1,1,1,1,1,2
-3,9,1,1,1,1,1,1,1,2
-3,9,2,1,1,1,1,1,1,2
-3,9,3,1,1,1,1,1,1,2
-3,10,0,1,0,0,0,0,0,NA
-3,10,1,1,1,1,1,1,1,2
-3,10,2,1,1,1,1,1,1,2
-3,10,3,1,1,1,1,1,1,2
-3,11,0,1,0,0,0,0,0,NA
-3,11,1,1,1,1,1,1,1,2
-3,11,2,1,1,1,1,1,1,2
-3,11,3,1,1,1,1,1,1,2
-3,12,0,1,0,0,0,0,0,NA
-3,12,1,1,1,1,1,1,1,2
-3,12,2,1,1,1,1,1,1,2
-3,12,3,1,1,1,1,1,1,2
-3,13,0,1,0,0,0,0,0,NA
-3,13,1,1,1,1,1,1,1,2
-3,13,2,1,1,1,1,1,1,2
-3,13,3,1,1,1,1,1,1,2
-3,1,0,2,1,0.75,0.25,0,3,6
-3,1,1,2,1,1,0.25,0,5,6
-3,1,2,2,1,1,1,0,0,0
-3,1,3,2,1,1,1,0,0,0
-3,2,0,2,1,1,0.25,0,5,6
-3,2,1,2,1,1,0.5,0,2,4
-3,2,2,2,1,1,1,0,0,0
-3,2,3,2,1,1,1,0,0,0
-3,3,0,2,1,1,0,0,6,6
-3,3,1,2,1,1,0.25,0,3,4
-3,3,2,2,1,1,1,0,0,0
-3,3,3,2,1,1,1,0,0,0
-3,4,0,2,1,0.5,0,0,3,9
-3,4,1,2,1,1,0,0,6,6
-3,4,2,2,1,1,1,0,0,0
-3,4,3,2,1,1,1,0,0,0
-3,5,0,2,1,1,0,1,4,5
-3,5,1,2,1,1,0.25,0,3,4
-3,5,2,2,1,1,1,0,0,0
-3,5,3,2,1,1,1,0,0,0
-3,6,0,2,1,1,0.5,0,2,4
-3,6,1,2,1,1,0.25,0,5,6
-3,6,2,2,1,1,1,0,0,0
-3,6,3,2,1,1,1,0,0,0
-3,7,0,2,1,1,0,1,4,5
-3,7,1,2,1,1,0.25,0,3,4
-3,7,2,2,1,1,1,0,0,0
-3,7,3,2,1,1,1,0,0,0
-3,8,0,2,1,0.5,0,0,3,7
-3,8,1,2,1,1,0,0,6,6
-3,8,2,2,1,1,1,0,0,0
-3,8,3,2,1,1,1,0,0,0
-3,9,0,2,1,1,0,0,4,4
-3,9,1,2,1,1,0,0,0,4
-3,9,2,2,1,1,1,0,0,0
-3,9,3,2,1,1,1,0,0,0
-3,10,0,2,0,0,0,0,0,NA
-3,10,1,2,1,1,0,0,0,4
-3,10,2,2,1,1,1,0,0,0
-3,10,3,2,1,1,1,0,0,0
-3,11,0,2,0,0,0,0,0,NA
-3,11,1,2,1,1,0.25,0,3,4
-3,11,2,2,1,1,1,0,0,0
-3,11,3,2,1,1,1,0,0,0
-3,12,0,2,0,0,0,0,0,NA
-3,12,1,2,1,1,0,0,0,4
-3,12,2,2,1,1,1,0,0,0
-3,12,3,2,1,1,1,0,0,0
-3,13,0,2,0,0,0,0,0,NA
-3,13,1,2,1,1,0.5,0,0,2
-3,13,2,2,1,1,1,0,0,0
-3,13,3,2,1,1,1,0,0,0
