model_id,rule_count,example_count,scenario,correct_output_format,tool_coverage,edge_coverage,false_tool_count,false_edge_count,dag_graph_edit_distance
-2,1,0,1,1,1,1,6,6,12
-2,1,1,1,1,1,0,8,6,13
-2,1,2,1,1,1,0,4,3,6
-2,1,3,1,1,1,0,5,5,9
-2,2,0,1,0,0,0,0,0,NA
-2,2,1,1,1,1,0,7,7,13
-2,2,2,1,1,1,0,2,2,3
-2,2,3,1,1,1,0,4,4,7
-2,3,0,1,0,0,0,0,0,NA
-2,3,1,1,0,0,0,0,0,NA
-2,3,2,1,1,1,0,2,3,4
-2,3,3,1,1,1,1,0,0,0
-2,4,0,1,1,1,1,4,4,8
-2,4,1,1,1,1,0,5,3,7
-2,4,2,1,1,1,0,4,3,6
-2,4,3,1,1,1,1,0,0,0
-2,5,0,1,1,1,1,7,5,12
-2,5,1,1,1,1,0,5,6,10
-2,5,2,1,1,1,0,4,3,6
-2,5,3,1,1,1,1,0,0,0
-2,6,0,1,1,1,0,4,3,6
-2,6,1,1,1,1,0,5,5,9
-2,6,2,1,1,1,0,5,5,9
-2,6,3,1,1,1,1,0,0,0
-2,7,0,1,1,1,0,3,3,5
-2,7,1,1,1,1,0,2,3,4
-2,7,2,1,1,1,0,4,4,7
-2,7,3,1,1,1,1,0,0,0
-2,8,0,1,0,0,0,0,0,NA
-2,8,1,1,1,1,0,5,5,9
-2,8,2,1,1,1,0,4,3,6
-2,8,3,1,1,1,1,0,0,0
-2,9,0,1,1,1,1,3,3,6
-2,9,1,1,1,1,0,2,3,4
-2,9,2,1,1,1,1,4,4,8
-2,9,3,1,1,1,1,0,0,0
-2,10,0,1,1,1,0,7,8,14
-2,10,1,1,1,1,0,5,5,9
-2,10,2,1,1,1,0,3,3,5
-2,10,3,1,1,1,1,0,0,0
-2,11,0,1,0,0,0,0,0,NA
-2,11,1,1,1,1,0,5,6,10
-2,11,2,1,1,1,0,4,3,6
-2,11,3,1,1,1,1,0,0,0
-2,12,0,1,0,0,0,0,0,NA
-2,12,1,1,0,0,0,0,0,NA
-2,12,2,1,1,1,0,4,3,6
-2,12,3,1,1,1,1,0,0,0
-2,13,0,1,1,1,0,6,6,11
-2,13,1,1,1,1,0,5,6,10
-2,13,2,1,1,1,0,4,3,6
-2,13,3,1,1,1,1,0,0,0
-2,1,0,2,0,0,0,0,0,NA
-2,1,1,2,1,1,0,0,4,4
-2,1,2,2,1,1,1,0,0,0
-2,1,3,2,1,1,1,0,0,0
-2,2,0,2,0,0,0,0,0,NA
-2,2,1,2,1,1,0.5,0,4,6
-2,2,2,2,1,1,1,0,0,0
-2,2,3,2,1,1,1,0,0,0
-2,3,0,2,1,1,0,0,4,4
-2,3,1,2,1,1,0.5,0,4,6
-2,3,2,2,0,0,0,0,0,NA
-2,3,3,2,1,1,1,0,0,0
-2,4,0,2,1,0.5,0,0,2,6
-2,4,1,2,1,1,0,0,4,4
-2,4,2,2,1,1,1,0,0,0
-2,4,3,2,1,1,1,0,0,0
-2,5,0,2,1,1,0,0,4,4
-2,5,1,2,1,1,0,0,4,4
-2,5,2,2,1,1,1,0,0,0
-2,5,3,2,1,1,1,0,0,0
-2,6,0,2,1,1,0.5,0,4,6
-2,6,1,2,1,1,0.5,0,4,6
-2,6,2,2,1,1,1,0,0,0
-2,6,3,2,1,1,1,0,0,0
-2,7,0,2,1,1,0.5,0,4,6
-2,7,1,2,1,1,0,0,4,4
-2,7,2,2,1,1,1,0,0,0
-2,7,3,2,1,1,1,0,2,2
-2,8,0,2,1,1,0.5,0,4,6
-2,8,1,2,1,1,0,0,4,4
-2,8,2,2,1,1,1,0,0,0
-2,8,3,2,1,1,1,0,0,0
-2,9,0,2,1,1,0.5,0,4,6
-2,9,1,2,1,1,0.5,0,4,6
-2,9,2,2,1,1,1,0,0,0
-2,9,3,2,1,1,1,0,0,0
-2,10,0,2,1,1,0.5,0,4,6
-2,10,1,2,1,1,0.5,0,2,4
-2,10,2,2,1,1,1,0,0,0
-2,10,3,2,1,1,1,0,0,0
-2,11,0,2,1,1,0.5,0,4,6
-2,11,1,2,1,0.875,0.25,0,3,3
-2,11,2,2,1,1,1,0,0,0
-2,11,3,2,1,1,1,0,0,0
-2,12,0,2,1,0.625,0,0,4,5
-2,12,1,2,1,1,0.25,0,4,3
-2,12,2,2,1,1,1,0,0,0
-2,12,3,2,1,1,1,0,0,0
-2,13,0,2,1,1,0,5,6,11
-2,13,1,2,1,1,0.5,0,4,6
-2,13,2,2,1,1,1,0,0,0
-2,13,3,2,1,1,1,0,0,0
