ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,0.5,0.07096451774112944,False,decreasing,No significant monotonic decreasing trend detected (p=0.071).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,1,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.3798100949525237,False,decreasing,No significant monotonic decreasing trend detected (p=0.38).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,1,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2448775612193903,False,decreasing,No significant monotonic decreasing trend detected (p=0.245).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08495752123938032,False,decreasing,No significant monotonic decreasing trend detected (p=0.085).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.3743128435782109,False,decreasing,No significant monotonic decreasing trend detected (p=0.374).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.16891554222888555,False,decreasing,No significant monotonic decreasing trend detected (p=0.169).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.07846076961519241,False,decreasing,No significant monotonic decreasing trend detected (p=0.0785).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.08895552223888056,False,decreasing,No significant monotonic decreasing trend detected (p=0.089).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,3,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.25787106446776614,False,decreasing,No significant monotonic decreasing trend detected (p=0.258).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08095952023988005,False,decreasing,No significant monotonic decreasing trend detected (p=0.081).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,4,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.0399800099950025,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.04).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,4,-2,llama 3.1 (8 B)
"0,1,2,3",4,5.5,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.18690654672663667,False,decreasing,No significant monotonic decreasing trend detected (p=0.187).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,5,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.04897551224387806,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.049).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,5,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2543728135932034,False,decreasing,No significant monotonic decreasing trend detected (p=0.254).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.0,0.04697651174412794,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.047).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,6,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.5,0.5027486256871564,False,decreasing,No significant monotonic decreasing trend detected (p=0.503).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,6,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2463768115942029,False,decreasing,No significant monotonic decreasing trend detected (p=0.246).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.17041479260369816,False,decreasing,No significant monotonic decreasing trend detected (p=0.17).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.3798100949525237,False,decreasing,No significant monotonic decreasing trend detected (p=0.38).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,7,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.5,0.4847576211894053,False,decreasing,No significant monotonic decreasing trend detected (p=0.485).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,7,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.24587706146926536,False,decreasing,No significant monotonic decreasing trend detected (p=0.246).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.0,0.041979010494752625,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.042).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,8,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.038980509745127435,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.039).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,8,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.1629185407296352,False,decreasing,No significant monotonic decreasing trend detected (p=0.163).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,8,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.18440779610194902,False,decreasing,No significant monotonic decreasing trend detected (p=0.184).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,9,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.3633183408295852,False,decreasing,No significant monotonic decreasing trend detected (p=0.363).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,9,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.5,0.48875562218890556,False,decreasing,No significant monotonic decreasing trend detected (p=0.489).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,9,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.0,0.03648175912043978,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.0365).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,10,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.03948025987006497,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.0395).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,10,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.24187906046976512,False,decreasing,No significant monotonic decreasing trend detected (p=0.242).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,10,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,0.5,0.08495752123938032,False,decreasing,No significant monotonic decreasing trend detected (p=0.085).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,10,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.0,0.041979010494752625,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.042).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,11,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.09345327336331834,False,decreasing,No significant monotonic decreasing trend detected (p=0.0935).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,11,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2493753123438281,False,decreasing,No significant monotonic decreasing trend detected (p=0.249).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,11,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.26036981509245377,False,decreasing,No significant monotonic decreasing trend detected (p=0.26).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,11,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.07396301849075462,False,decreasing,No significant monotonic decreasing trend detected (p=0.074).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,12,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.07646176911544228,False,decreasing,No significant monotonic decreasing trend detected (p=0.0765).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,12,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2478760619690155,False,decreasing,No significant monotonic decreasing trend detected (p=0.248).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,12,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.26036981509245377,False,decreasing,No significant monotonic decreasing trend detected (p=0.26).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,12,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16141929035482258,False,decreasing,No significant monotonic decreasing trend detected (p=0.161).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,13,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.043478260869565216,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.0435).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,13,-2,llama 3.1 (8 B)
