ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,4.5,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2493753123438281,False,increasing,No significant monotonic increasing trend detected (p=0.249).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7521239380309845,False,increasing,No significant monotonic increasing trend detected (p=0.752).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25537231384307846,False,increasing,No significant monotonic increasing trend detected (p=0.255).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,2,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.0,0.16441779110444776,False,increasing,No significant monotonic increasing trend detected (p=0.164).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7486256871564217,False,increasing,No significant monotonic increasing trend detected (p=0.749).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.24737631184407796,False,increasing,No significant monotonic increasing trend detected (p=0.247).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.0,0.33683158420789605,False,increasing,No significant monotonic increasing trend detected (p=0.337).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.0,0.6636681659170415,False,increasing,No significant monotonic increasing trend detected (p=0.664).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,4,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.255872063968016,False,increasing,No significant monotonic increasing trend detected (p=0.256).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,4,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,4.5,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.0,0.6666666666666666,False,increasing,No significant monotonic increasing trend detected (p=0.667).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,5,-2,llama 3.1 (8 B)
"0,1,2,3",4,3.5,0.7546226886556722,False,increasing,No significant monotonic increasing trend detected (p=0.755).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,5,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.26186906546726635,False,increasing,No significant monotonic increasing trend detected (p=0.262).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7591204397801099,False,increasing,No significant monotonic increasing trend detected (p=0.759).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,6,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.248375812093953,False,increasing,No significant monotonic increasing trend detected (p=0.248).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,6,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2543728135932034,False,increasing,No significant monotonic increasing trend detected (p=0.254).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7596201899050474,False,increasing,No significant monotonic increasing trend detected (p=0.76).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2608695652173913,False,increasing,No significant monotonic increasing trend detected (p=0.261).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,7,-2,llama 3.1 (8 B)
"0,1,2,3",4,3.5,0.750624687656172,False,increasing,No significant monotonic increasing trend detected (p=0.751).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,7,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.25987006496751625,False,increasing,No significant monotonic increasing trend detected (p=0.26).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7446276861569215,False,increasing,No significant monotonic increasing trend detected (p=0.745).,example_count,example count,edge_coverage,Dependency Coverage (Recall),1,8,-1,llama 3.2 (3.2 B)
