ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,0.5,0.07096451774112944,False,increasing,No significant monotonic increasing trend detected (p=0.071).,example_count,example count,edge_precision,Dependency Precision,1,1,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,4.5,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,example_count,example count,edge_precision,Dependency Precision,1,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,increasing,No significant monotonic increasing trend detected (p=0.243).,example_count,example count,edge_precision,Dependency Precision,1,1,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2448775612193903,False,increasing,No significant monotonic increasing trend detected (p=0.245).,example_count,example count,edge_precision,Dependency Precision,1,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.36531734132933535,False,increasing,No significant monotonic increasing trend detected (p=0.365).,example_count,example count,edge_precision,Dependency Precision,1,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.26036981509245377,False,increasing,No significant monotonic increasing trend detected (p=0.26).,example_count,example count,edge_precision,Dependency Precision,1,2,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,0.5,0.08195902048975512,False,increasing,No significant monotonic increasing trend detected (p=0.082).,example_count,example count,edge_precision,Dependency Precision,1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.3793103448275862,False,increasing,No significant monotonic increasing trend detected (p=0.379).,example_count,example count,edge_precision,Dependency Precision,1,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2563718140929535,False,increasing,No significant monotonic increasing trend detected (p=0.256).,example_count,example count,edge_precision,Dependency Precision,1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,increasing,No significant monotonic increasing trend detected (p=0.243).,example_count,example count,edge_precision,Dependency Precision,1,3,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.25787106446776614,False,increasing,No significant monotonic increasing trend detected (p=0.258).,example_count,example count,edge_precision,Dependency Precision,1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08095952023988005,False,increasing,No significant monotonic increasing trend detected (p=0.081).,example_count,example count,edge_precision,Dependency Precision,1,4,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.5,0.5067466266866567,False,increasing,No significant monotonic increasing trend detected (p=0.507).,example_count,example count,edge_precision,Dependency Precision,1,4,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2688655672163918,False,increasing,No significant monotonic increasing trend detected (p=0.269).,example_count,example count,edge_precision,Dependency Precision,1,4,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,4.5,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,example_count,example count,edge_precision,Dependency Precision,1,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.17091454272863568,False,increasing,No significant monotonic increasing trend detected (p=0.171).,example_count,example count,edge_precision,Dependency Precision,1,5,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.5,0.5147426286856571,False,increasing,No significant monotonic increasing trend detected (p=0.515).,example_count,example count,edge_precision,Dependency Precision,1,5,-2,llama 3.1 (8 B)
"0,1,2,3",4,3.5,0.7596201899050474,False,increasing,No significant monotonic increasing trend detected (p=0.76).,example_count,example count,edge_precision,Dependency Precision,1,5,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2608695652173913,False,increasing,No significant monotonic increasing trend detected (p=0.261).,example_count,example count,edge_precision,Dependency Precision,1,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.35932033983008493,False,increasing,No significant monotonic increasing trend detected (p=0.359).,example_count,example count,edge_precision,Dependency Precision,1,6,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25987006496751625,False,increasing,No significant monotonic increasing trend detected (p=0.26).,example_count,example count,edge_precision,Dependency Precision,1,6,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2478760619690155,False,increasing,No significant monotonic increasing trend detected (p=0.248).,example_count,example count,edge_precision,Dependency Precision,1,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.3868065967016492,False,increasing,No significant monotonic increasing trend detected (p=0.387).,example_count,example count,edge_precision,Dependency Precision,1,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.24587706146926536,False,increasing,No significant monotonic increasing trend detected (p=0.246).,example_count,example count,edge_precision,Dependency Precision,1,7,-2,llama 3.1 (8 B)
"0,1,2,3",4,3.5,0.7446276861569215,False,increasing,No significant monotonic increasing trend detected (p=0.745).,example_count,example count,edge_precision,Dependency Precision,1,7,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.23888055972013994,False,increasing,No significant monotonic increasing trend detected (p=0.239).,example_count,example count,edge_precision,Dependency Precision,1,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.3758120939530235,False,increasing,No significant monotonic increasing trend detected (p=0.376).,example_count,example count,edge_precision,Dependency Precision,1,8,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25737131434282856,False,increasing,No significant monotonic increasing trend detected (p=0.257).,example_count,example count,edge_precision,Dependency Precision,1,8,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2518740629685157,False,increasing,No significant monotonic increasing trend detected (p=0.252).,example_count,example count,edge_precision,Dependency Precision,1,8,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.0,0.6196901549225388,False,increasing,No significant monotonic increasing trend detected (p=0.62).,example_count,example count,edge_precision,Dependency Precision,1,9,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.36931534232883556,False,increasing,No significant monotonic increasing trend detected (p=0.369).,example_count,example count,edge_precision,Dependency Precision,1,9,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2413793103448276,False,increasing,No significant monotonic increasing trend detected (p=0.241).,example_count,example count,edge_precision,Dependency Precision,1,9,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.5,0.5072463768115942,False,increasing,No significant monotonic increasing trend detected (p=0.507).,example_count,example count,edge_precision,Dependency Precision,1,10,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25237381309345325,False,increasing,No significant monotonic increasing trend detected (p=0.252).,example_count,example count,edge_precision,Dependency Precision,1,10,-2,llama 3.1 (8 B)
