ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,0.5,0.07096451774112944,False,decreasing,No significant monotonic decreasing trend detected (p=0.071).,example_count,example count,false_edge_count,False Dependency Count,1,1,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,example_count,example count,false_edge_count,False Dependency Count,1,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,example_count,example count,false_edge_count,False Dependency Count,1,1,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.0,0.16441779110444776,False,decreasing,No significant monotonic decreasing trend detected (p=0.164).,example_count,example count,false_edge_count,False Dependency Count,1,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,4.0,0.8380809595202399,False,decreasing,No significant monotonic decreasing trend detected (p=0.838).,example_count,example count,false_edge_count,False Dependency Count,1,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.26036981509245377,False,decreasing,No significant monotonic decreasing trend detected (p=0.26).,example_count,example count,false_edge_count,False Dependency Count,1,2,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.255872063968016,False,decreasing,No significant monotonic decreasing trend detected (p=0.256).,example_count,example count,false_edge_count,False Dependency Count,1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16741629185407297,False,decreasing,No significant monotonic decreasing trend detected (p=0.167).,example_count,example count,false_edge_count,False Dependency Count,1,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,3.5,0.7471264367816092,False,decreasing,No significant monotonic decreasing trend detected (p=0.747).,example_count,example count,false_edge_count,False Dependency Count,1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,example_count,example count,false_edge_count,False Dependency Count,1,3,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.5,0.5022488755622189,False,decreasing,No significant monotonic decreasing trend detected (p=0.502).,example_count,example count,false_edge_count,False Dependency Count,1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08095952023988005,False,decreasing,No significant monotonic decreasing trend detected (p=0.081).,example_count,example count,false_edge_count,False Dependency Count,1,4,-1,llama 3.2 (3.2 B)
