ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,1.5,0.2593703148425787,False,increasing,No significant monotonic increasing trend detected (p=0.259).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.26036981509245377,False,increasing,No significant monotonic increasing trend detected (p=0.26).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.5,0.487256371814093,False,increasing,No significant monotonic increasing trend detected (p=0.487).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16141929035482258,False,increasing,No significant monotonic increasing trend detected (p=0.161).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.0,0.3278360819590205,False,increasing,No significant monotonic increasing trend detected (p=0.328).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,5.0,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.24737631184407796,False,increasing,No significant monotonic increasing trend detected (p=0.247).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.33683158420789605,False,increasing,No significant monotonic increasing trend detected (p=0.337).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7471264367816092,False,increasing,No significant monotonic increasing trend detected (p=0.747).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,increasing,No significant monotonic increasing trend detected (p=0.243).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.5,0.5022488755622189,False,increasing,No significant monotonic increasing trend detected (p=0.502).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,8,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2563718140929535,False,increasing,No significant monotonic increasing trend detected (p=0.256).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,8,-2,llama 3.1 (8 B)
"0,1,2,3",4,2.5,0.5122438780609695,False,increasing,No significant monotonic increasing trend detected (p=0.512).,example_count,example count,tool_coverage,Tool Coverage (Recall),1,8,-4,gpt-oss (20.9 B)
