ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,0.5,0.07096451774112944,False,increasing,No significant monotonic increasing trend detected (p=0.071).,example_count,example count,tool_precision,Tool Precision,1,1,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.3798100949525237,False,increasing,No significant monotonic increasing trend detected (p=0.38).,example_count,example count,tool_precision,Tool Precision,1,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,increasing,No significant monotonic increasing trend detected (p=0.243).,example_count,example count,tool_precision,Tool Precision,1,1,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2448775612193903,False,increasing,No significant monotonic increasing trend detected (p=0.245).,example_count,example count,tool_precision,Tool Precision,1,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08495752123938032,False,increasing,No significant monotonic increasing trend detected (p=0.085).,example_count,example count,tool_precision,Tool Precision,1,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.0,0.16691654172913542,False,increasing,No significant monotonic increasing trend detected (p=0.167).,example_count,example count,tool_precision,Tool Precision,1,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.16891554222888555,False,increasing,No significant monotonic increasing trend detected (p=0.169).,example_count,example count,tool_precision,Tool Precision,1,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.07846076961519241,False,increasing,No significant monotonic increasing trend detected (p=0.0785).,example_count,example count,tool_precision,Tool Precision,1,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.08895552223888056,False,increasing,No significant monotonic increasing trend detected (p=0.089).,example_count,example count,tool_precision,Tool Precision,1,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,increasing,No significant monotonic increasing trend detected (p=0.243).,example_count,example count,tool_precision,Tool Precision,1,3,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.25787106446776614,False,increasing,No significant monotonic increasing trend detected (p=0.258).,example_count,example count,tool_precision,Tool Precision,1,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08095952023988005,False,increasing,No significant monotonic increasing trend detected (p=0.081).,example_count,example count,tool_precision,Tool Precision,1,4,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25487256371814093,False,increasing,No significant monotonic increasing trend detected (p=0.255).,example_count,example count,tool_precision,Tool Precision,1,4,-2,llama 3.1 (8 B)
"0,1,2,3",4,5.5,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,example_count,example count,tool_precision,Tool Precision,1,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.18690654672663667,False,increasing,No significant monotonic increasing trend detected (p=0.187).,example_count,example count,tool_precision,Tool Precision,1,5,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.04897551224387806,True,increasing,Evidence for increasing Tool Precision with higher example count (p=0.049).,example_count,example count,tool_precision,Tool Precision,1,5,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2543728135932034,False,increasing,No significant monotonic increasing trend detected (p=0.254).,example_count,example count,tool_precision,Tool Precision,1,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.0,0.04697651174412794,True,increasing,Evidence for increasing Tool Precision with higher example count (p=0.047).,example_count,example count,tool_precision,Tool Precision,1,6,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.5,0.5027486256871564,False,increasing,No significant monotonic increasing trend detected (p=0.503).,example_count,example count,tool_precision,Tool Precision,1,6,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2463768115942029,False,increasing,No significant monotonic increasing trend detected (p=0.246).,example_count,example count,tool_precision,Tool Precision,1,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.0,0.3828085957021489,False,increasing,No significant monotonic increasing trend detected (p=0.383).,example_count,example count,tool_precision,Tool Precision,1,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,2.0,0.3798100949525237,False,increasing,No significant monotonic increasing trend detected (p=0.38).,example_count,example count,tool_precision,Tool Precision,1,7,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2658670664667666,False,increasing,No significant monotonic increasing trend detected (p=0.266).,example_count,example count,tool_precision,Tool Precision,1,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16241879060469766,False,increasing,No significant monotonic increasing trend detected (p=0.162).,example_count,example count,tool_precision,Tool Precision,1,8,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.0,0.041979010494752625,True,increasing,Evidence for increasing Tool Precision with higher example count (p=0.042).,example_count,example count,tool_precision,Tool Precision,1,8,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.1619190404797601,False,increasing,No significant monotonic increasing trend detected (p=0.162).,example_count,example count,tool_precision,Tool Precision,1,8,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.1629185407296352,False,increasing,No significant monotonic increasing trend detected (p=0.163).,example_count,example count,tool_precision,Tool Precision,1,9,-1,llama 3.2 (3.2 B)
