ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,59.0,0.9960019990004998,False,decreasing,No significant monotonic decreasing trend detected (p=0.996).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5232383808095952,False,decreasing,No significant monotonic decreasing trend detected (p=0.523).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,57.0,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,41.5,0.6701649175412294,False,decreasing,No significant monotonic decreasing trend detected (p=0.67).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,48.5,0.9175412293853074,False,decreasing,No significant monotonic decreasing trend detected (p=0.918).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,32.5,0.24537731134432783,False,decreasing,No significant monotonic decreasing trend detected (p=0.245).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,45.0,0.8350824587706147,False,decreasing,No significant monotonic decreasing trend detected (p=0.835).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.5,0.9235382308845578,False,decreasing,No significant monotonic decreasing trend detected (p=0.924).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,45.5,0.809095452273863,False,decreasing,No significant monotonic decreasing trend detected (p=0.809).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5137431284357821,False,decreasing,No significant monotonic decreasing trend detected (p=0.514).,rule_count,rule count,dag_graph_edit_distance,DAG Graph Edit Distance,1,2,-3,mistral-nemo (12.2 B)
