ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,48.0,0.9220389805097451,False,increasing,No significant monotonic increasing trend detected (p=0.922).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9340329835082459,False,increasing,No significant monotonic increasing trend detected (p=0.934).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.3933033483258371,False,increasing,No significant monotonic increasing trend detected (p=0.393).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.0,0.7691154422788605,False,increasing,No significant monotonic increasing trend detected (p=0.769).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,43.0,0.8440779610194903,False,increasing,No significant monotonic increasing trend detected (p=0.844).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,50.0,0.9685157421289355,False,increasing,No significant monotonic increasing trend detected (p=0.969).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.37631184407796103,False,increasing,No significant monotonic increasing trend detected (p=0.376).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.367816091954023,False,increasing,No significant monotonic increasing trend detected (p=0.368).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,2,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,44.0,0.9230384807596201,False,increasing,No significant monotonic increasing trend detected (p=0.923).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,28.0,0.014492753623188406,True,increasing,Evidence for increasing Dependency Coverage (Recall) with higher rule count (p=0.0145).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,3,-2,llama 3.1 (8 B)
