ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,51.0,0.9415292353823088,False,increasing,No significant monotonic increasing trend detected (p=0.942).,rule_count,rule count,edge_precision,Dependency Precision,1,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,46.0,0.8790604697651174,False,increasing,No significant monotonic increasing trend detected (p=0.879).,rule_count,rule count,edge_precision,Dependency Precision,1,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9310344827586207,False,increasing,No significant monotonic increasing trend detected (p=0.931).,rule_count,rule count,edge_precision,Dependency Precision,1,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.5,0.4382808595702149,False,increasing,No significant monotonic increasing trend detected (p=0.438).,rule_count,rule count,edge_precision,Dependency Precision,1,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,48.5,0.9240379810094953,False,increasing,No significant monotonic increasing trend detected (p=0.924).,rule_count,rule count,edge_precision,Dependency Precision,1,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,43.0,0.8450774612693653,False,increasing,No significant monotonic increasing trend detected (p=0.845).,rule_count,rule count,edge_precision,Dependency Precision,1,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,51.0,0.9875062468765617,False,increasing,No significant monotonic increasing trend detected (p=0.988).,rule_count,rule count,edge_precision,Dependency Precision,1,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.37031484257871067,False,increasing,No significant monotonic increasing trend detected (p=0.37).,rule_count,rule count,edge_precision,Dependency Precision,1,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.37381309345327335,False,increasing,No significant monotonic increasing trend detected (p=0.374).,rule_count,rule count,edge_precision,Dependency Precision,1,2,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,44.0,0.9265367316341829,False,increasing,No significant monotonic increasing trend detected (p=0.927).,rule_count,rule count,edge_precision,Dependency Precision,1,2,-4,gpt-oss (20.9 B)
