ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,51.0,0.9415292353823088,False,decreasing,No significant monotonic decreasing trend detected (p=0.942).,rule_count,rule count,false_edge_count,False Dependency Count,1,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,38.0,0.46976511744127936,False,decreasing,No significant monotonic decreasing trend detected (p=0.47).,rule_count,rule count,false_edge_count,False Dependency Count,1,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,17.0,0.0009995002498750624,True,decreasing,Evidence for decreasing False Dependency Count with higher rule count (p=0.001).,rule_count,rule count,false_edge_count,False Dependency Count,1,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,40.0,0.5827086456771614,False,decreasing,No significant monotonic decreasing trend detected (p=0.583).,rule_count,rule count,false_edge_count,False Dependency Count,1,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.5,0.7176411794102948,False,decreasing,No significant monotonic decreasing trend detected (p=0.718).,rule_count,rule count,false_edge_count,False Dependency Count,1,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,36.5,0.4102948525737131,False,decreasing,No significant monotonic decreasing trend detected (p=0.41).,rule_count,rule count,false_edge_count,False Dependency Count,1,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,34.5,0.2908545727136432,False,decreasing,No significant monotonic decreasing trend detected (p=0.291).,rule_count,rule count,false_edge_count,False Dependency Count,1,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,52.5,0.9765117441279361,False,decreasing,No significant monotonic decreasing trend detected (p=0.977).,rule_count,rule count,false_edge_count,False Dependency Count,1,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.5,0.7126436781609196,False,decreasing,No significant monotonic decreasing trend detected (p=0.713).,rule_count,rule count,false_edge_count,False Dependency Count,1,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.37181409295352325,False,decreasing,No significant monotonic decreasing trend detected (p=0.372).,rule_count,rule count,false_edge_count,False Dependency Count,1,2,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,41.5,0.6721639180409795,False,decreasing,No significant monotonic decreasing trend detected (p=0.672).,rule_count,rule count,false_edge_count,False Dependency Count,1,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,20.0,0.001999000499750125,True,decreasing,Evidence for decreasing False Dependency Count with higher rule count (p=0.002).,rule_count,rule count,false_edge_count,False Dependency Count,1,3,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,27.5,0.0079960019990005,True,decreasing,Evidence for decreasing False Dependency Count with higher rule count (p=0.008).,rule_count,rule count,false_edge_count,False Dependency Count,1,3,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.991504247876062,False,decreasing,No significant monotonic decreasing trend detected (p=0.992).,rule_count,rule count,false_edge_count,False Dependency Count,1,3,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,35.0,0.32983508245877063,False,decreasing,No significant monotonic decreasing trend detected (p=0.33).,rule_count,rule count,false_edge_count,False Dependency Count,2,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,58.5,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,rule_count,rule count,false_edge_count,False Dependency Count,2,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,19.0,0.0069965017491254375,True,decreasing,Evidence for decreasing False Dependency Count with higher rule count (p=0.007).,rule_count,rule count,false_edge_count,False Dependency Count,2,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,29.0,0.11244377811094453,False,decreasing,No significant monotonic decreasing trend detected (p=0.112).,rule_count,rule count,false_edge_count,False Dependency Count,2,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,32.5,0.12643678160919541,False,decreasing,No significant monotonic decreasing trend detected (p=0.126).,rule_count,rule count,false_edge_count,False Dependency Count,2,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,25.0,0.043478260869565216,True,decreasing,Evidence for decreasing False Dependency Count with higher rule count (p=0.0435).,rule_count,rule count,false_edge_count,False Dependency Count,2,1,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,34.0,0.15792103948025987,False,decreasing,No significant monotonic decreasing trend detected (p=0.158).,rule_count,rule count,false_edge_count,False Dependency Count,2,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,44.0,0.8405797101449275,False,decreasing,No significant monotonic decreasing trend detected (p=0.841).,rule_count,rule count,false_edge_count,False Dependency Count,2,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,25.0,0.02498750624687656,True,decreasing,Evidence for decreasing False Dependency Count with higher rule count (p=0.025).,rule_count,rule count,false_edge_count,False Dependency Count,2,3,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5472263868065967,False,decreasing,No significant monotonic decreasing trend detected (p=0.547).,rule_count,rule count,false_edge_count,False Dependency Count,2,3,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,35.0,0.2943528235882059,False,decreasing,No significant monotonic decreasing trend detected (p=0.294).,rule_count,rule count,false_edge_count,False Dependency Count,2,3,-4,gpt-oss (20.9 B)
