ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,62.0,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,rule_count,rule count,false_tool_count,False Tool Count,1,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.41379310344827586,False,decreasing,No significant monotonic decreasing trend detected (p=0.414).,rule_count,rule count,false_tool_count,False Tool Count,1,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,21.0,0.0014992503748125937,True,decreasing,Evidence for decreasing False Tool Count with higher rule count (p=0.0015).,rule_count,rule count,false_tool_count,False Tool Count,1,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,41.5,0.6531734132933533,False,decreasing,No significant monotonic decreasing trend detected (p=0.653).,rule_count,rule count,false_tool_count,False Tool Count,1,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,45.0,0.8170914542728636,False,decreasing,No significant monotonic decreasing trend detected (p=0.817).,rule_count,rule count,false_tool_count,False Tool Count,1,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,28.5,0.10044977511244378,False,decreasing,No significant monotonic decreasing trend detected (p=0.1).,rule_count,rule count,false_tool_count,False Tool Count,1,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.0,0.2128935532233883,False,decreasing,No significant monotonic decreasing trend detected (p=0.213).,rule_count,rule count,false_tool_count,False Tool Count,1,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9165417291354323,False,decreasing,No significant monotonic decreasing trend detected (p=0.917).,rule_count,rule count,false_tool_count,False Tool Count,1,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,44.5,0.7996001999000499,False,decreasing,No significant monotonic decreasing trend detected (p=0.8).,rule_count,rule count,false_tool_count,False Tool Count,1,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,41.5,0.6856571714142928,False,decreasing,No significant monotonic decreasing trend detected (p=0.686).,rule_count,rule count,false_tool_count,False Tool Count,1,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,40.0,0.6071964017991005,False,decreasing,No significant monotonic decreasing trend detected (p=0.607).,rule_count,rule count,false_tool_count,False Tool Count,1,3,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,27.5,0.005497251374312844,True,decreasing,Evidence for decreasing False Tool Count with higher rule count (p=0.0055).,rule_count,rule count,false_tool_count,False Tool Count,1,3,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9865067466266867,False,decreasing,No significant monotonic decreasing trend detected (p=0.987).,rule_count,rule count,false_tool_count,False Tool Count,1,3,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,24.5,0.04397801099450275,True,decreasing,Evidence for decreasing False Tool Count with higher rule count (p=0.044).,rule_count,rule count,false_tool_count,False Tool Count,2,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,45.0,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,rule_count,rule count,false_tool_count,False Tool Count,2,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.37831084457771114,False,decreasing,No significant monotonic decreasing trend detected (p=0.378).,rule_count,rule count,false_tool_count,False Tool Count,2,0,-3,mistral-nemo (12.2 B)
