ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,62.0,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,rule_count,rule count,tool_precision,Tool Precision,1,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5272363818090955,False,increasing,No significant monotonic increasing trend detected (p=0.527).,rule_count,rule count,tool_precision,Tool Precision,1,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,57.0,1.0,False,increasing,No significant monotonic increasing trend detected (p=1).,rule_count,rule count,tool_precision,Tool Precision,1,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,41.5,0.6701649175412294,False,increasing,No significant monotonic increasing trend detected (p=0.67).,rule_count,rule count,tool_precision,Tool Precision,1,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,50.0,0.9405297351324338,False,increasing,No significant monotonic increasing trend detected (p=0.941).,rule_count,rule count,tool_precision,Tool Precision,1,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,30.5,0.16041979010494753,False,increasing,No significant monotonic increasing trend detected (p=0.16).,rule_count,rule count,tool_precision,Tool Precision,1,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,45.0,0.8350824587706147,False,increasing,No significant monotonic increasing trend detected (p=0.835).,rule_count,rule count,tool_precision,Tool Precision,1,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9165417291354323,False,increasing,No significant monotonic increasing trend detected (p=0.917).,rule_count,rule count,tool_precision,Tool Precision,1,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,44.5,0.7996001999000499,False,increasing,No significant monotonic increasing trend detected (p=0.8).,rule_count,rule count,tool_precision,Tool Precision,1,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.5,0.5782108945527237,False,increasing,No significant monotonic increasing trend detected (p=0.578).,rule_count,rule count,tool_precision,Tool Precision,1,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,40.0,0.6071964017991005,False,increasing,No significant monotonic increasing trend detected (p=0.607).,rule_count,rule count,tool_precision,Tool Precision,1,3,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,27.5,0.005497251374312844,True,increasing,Evidence for increasing Tool Precision with higher rule count (p=0.0055).,rule_count,rule count,tool_precision,Tool Precision,1,3,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9865067466266867,False,increasing,No significant monotonic increasing trend detected (p=0.987).,rule_count,rule count,tool_precision,Tool Precision,1,3,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.0,0.7386306846576711,False,increasing,No significant monotonic increasing trend detected (p=0.739).,rule_count,rule count,tool_precision,Tool Precision,1,3,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,37.0,0.4367816091954023,False,increasing,No significant monotonic increasing trend detected (p=0.437).,rule_count,rule count,tool_precision,Tool Precision,2,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,32.5,0.19990004997501248,False,increasing,No significant monotonic increasing trend detected (p=0.2).,rule_count,rule count,tool_precision,Tool Precision,2,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,57.0,0.9895052473763118,False,increasing,No significant monotonic increasing trend detected (p=0.99).,rule_count,rule count,tool_precision,Tool Precision,2,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.0,0.08095952023988005,False,increasing,No significant monotonic increasing trend detected (p=0.081).,rule_count,rule count,tool_precision,Tool Precision,2,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,43.0,0.8535732133933034,False,increasing,No significant monotonic increasing trend detected (p=0.854).,rule_count,rule count,tool_precision,Tool Precision,2,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5472263868065967,False,increasing,No significant monotonic increasing trend detected (p=0.547).,rule_count,rule count,tool_precision,Tool Precision,2,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,35.0,0.23288355822088955,False,increasing,No significant monotonic increasing trend detected (p=0.233).,rule_count,rule count,tool_precision,Tool Precision,2,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,43.0,0.855072463768116,False,increasing,No significant monotonic increasing trend detected (p=0.855).,rule_count,rule count,tool_precision,Tool Precision,2,2,-4,gpt-oss (20.9 B)
