metric,metric_display,test,trend,aspect,total_strata,combined_z_stat,two_tailed_p,one_sided_p_value,supports_expected,expected_direction,finding,scenario,example_count,model_id,model_name,jt_statistic,jt_pvalue,rule_count
dag_graph_edit_distance,DAG Graph Edit Distance,spearman_meta,rule_count,rule_count_vs_dag_graph_edit_distance,29.0,0.08401472850116516,0.9330447215201371,0.5334776392399314,False,decreasing,No significant evidence of decreasing DAG Graph Edit Distance with more rules,,,,,,,
dag_graph_edit_distance,DAG Graph Edit Distance,spearman_meta,example_count,example_count_vs_dag_graph_edit_distance,97.0,-17.432379237922145,4.685528074364335e-68,2.3427640371821677e-68,True,decreasing,Combined correlation supports decreasing DAG Graph Edit Distance with more examples,,,,,,,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.996).,1.0,0.0,-1,llama 3.2 (3.2 B),59.0,0.9960019990004998,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.523).,1.0,0.0,-2,llama 3.1 (8 B),39.0,0.5232383808095952,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=1).,1.0,0.0,-3,mistral-nemo (12.2 B),57.0,1.0,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.67).,1.0,0.0,-4,gpt-oss (20.9 B),41.5,0.6701649175412294,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.918).,1.0,1.0,-1,llama 3.2 (3.2 B),48.5,0.9175412293853074,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.245).,1.0,1.0,-2,llama 3.1 (8 B),32.5,0.24537731134432783,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.835).,1.0,1.0,-4,gpt-oss (20.9 B),45.0,0.8350824587706147,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.924).,1.0,2.0,-1,llama 3.2 (3.2 B),49.5,0.9235382308845578,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.809).,1.0,2.0,-2,llama 3.1 (8 B),45.5,0.809095452273863,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.514).,1.0,2.0,-3,mistral-nemo (12.2 B),39.0,0.5137431284357821,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.438).,1.0,2.0,-4,gpt-oss (20.9 B),37.5,0.4382808595702149,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher rule count (p=0.034).,1.0,3.0,-1,llama 3.2 (3.2 B),25.0,0.03398300849575212,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher rule count (p=0.008).,1.0,3.0,-2,llama 3.1 (8 B),27.5,0.0079960019990005,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.992).,1.0,3.0,-3,mistral-nemo (12.2 B),49.0,0.991504247876062,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.749).,1.0,3.0,-4,gpt-oss (20.9 B),42.0,0.7491254372813593,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.719).,2.0,0.0,-1,llama 3.2 (3.2 B),43.0,0.7186406796601699,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.49).,2.0,0.0,-2,llama 3.1 (8 B),38.5,0.4897551224387806,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.955).,2.0,0.0,-3,mistral-nemo (12.2 B),51.5,0.9545227386306847,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.089).,2.0,0.0,-4,gpt-oss (20.9 B),33.0,0.08895552223888056,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.154).,2.0,1.0,-1,llama 3.2 (3.2 B),31.0,0.1539230384807596,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.141).,2.0,1.0,-2,llama 3.1 (8 B),31.0,0.1409295352323838,
